,0
1443,sucker
1447,sulk
1454,swagger
1456,swindle
1462,tantrum
1463,tart
1464,taunt
1466,tedious
1477,thoughtless
1481,throttle
1488,torment
1489,torment
1491,torture
1492,torture
1497,traitor
1498,tramp
1500,tranny
1502,travesty
1503,treasonous
1511,twat
1512,twink
1514,twisted
1515,tyrannical
1516,ugliness
1517,ugly
1521,unbearable
1530,uneasy
1532,unethical
1534,unfaithful
1536,unfeeling
1540,unhealthy
1556,unruly
1567,unwanted
1572,unworthy
1582,usurper
1585,vengeful
1588,viciousness
1590,vile
1593,violation
1595,violent
1596,viper
1599,vomit
1600,vulgar
1605,warped
1607,waste
1609,wastefulness
1615,wetback
1617,whine
1618,whore
1620,wigger
1628,wolly
1629,wop
1634,worthless
1638,wreck
1639,wreck
1644,yarpie
1647,yokel
1648,zealot
1649,zigabo
